Name,Description
IBM,Describes how to configure IBM services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Image generation,Highlights best practices around image and generation so the broader work stays reliable.
Inference,Highlights best practices around inference so the broader work stays reliable.
Inference serving,"Guides packaging, serving, and routing infrastructure, with emphasis on inference so inference remains reliable and resilient."
Install,Highlights best practices around install so the broader work stays reliable.
Instrumentation,Highlights best practices around instrumentation so the broader work stays reliable.
Integration,"Shows how services, tools, and external systems interoperate to fulfill multi-step requests."
Integrations,"Shows how services, tools, and external systems interoperate, with emphasis on integrations to fulfill multi-step requests."
Issues,Highlights best practices around issues so the broader work stays reliable.
Lab,Highlights best practices around lab so the broader work stays reliable.
LangChain,Describes how to configure LangChain services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Latency,Highlights best practices around latency so the broader work stays reliable.
Lifecycle,Highlights best practices around lifecycle so the broader work stays reliable.
Llama 2,Highlights best practices around llama and 2 so the broader work stays reliable.
LlamaIndex,Describes how to configure LlamaIndex services and tooling so teams can run secure and repeatable LLM workloads on that platform.
LLM architecture,"Explores model internals, architecture choices, and foundational concepts so teams understand behavior and trade-offs."
LLM comparison,"Details evaluation and testing routines, with emphasis on LLM that confirm outputs meet quality and safety standards."
LLM monitoring,"Covers telemetry, dashboards, and alerts, with emphasis on LLM so teams can spot regressions and incidents early."
LLM training,"Guides training loops, tuning steps, and optimization choices, with emphasis on LLM so updates stay efficient and aligned."
LLMOps,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMOps so teams understand behavior and trade-offs."
LLMOps Accelerator,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMOps and accelerator so teams understand behavior and trade-offs."
LLMOps definition,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMOps and definition so teams understand behavior and trade-offs."
LLMOps overview,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMOps and overview so teams understand behavior and trade-offs."
LLMOps solution,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMOps and solution so teams understand behavior and trade-offs."
LLMs,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMs so teams understand behavior and trade-offs."
LLMs-from-scratch,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMs and scratch so teams understand behavior and trade-offs."
Lm-evaluation-harness,"Details evaluation and testing routines, with emphasis on lm and harness that confirm outputs meet quality and safety standards."
Load testing,"Details evaluation and testing routines, with emphasis on load that confirm outputs meet quality and safety standards."
Local-first,Highlights best practices around local and first so the broader work stays reliable.
LoRA,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Low code,Highlights best practices around low and code so the broader work stays reliable.
Maintenance,Highlights best practices around maintenance so the broader work stays reliable.
Managed endpoint,"Guides training loops, tuning steps, and optimization choices, with emphasis on managed and endpoint so updates stay efficient and aligned."
Map the open source AI ecosystem,Highlights best practices around map and open so the broader work stays reliable.
MCP,Highlights best practices around MCP so the broader work stays reliable.
Meta models,"Explores model internals, architecture choices, and foundational concepts, with emphasis on meta and models so teams understand behavior and trade-offs."
Metrics,"Covers telemetry, dashboards, and alerts so teams can spot regressions and incidents early."
Microsoft,Describes how to configure Microsoft Azure services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Microsoft Learn,"Describes how to configure Microsoft Azure services and tooling, with emphasis on learn so teams can run secure and repeatable LLM workloads on that platform."
Mistral AI Partners with Accenture for Enterprise AI Deployment,"Guides packaging, serving, and routing infrastructure, with emphasis on mistral and AI so inference remains reliable and resilient."
MLflow,Describes how to configure MLflow services and tooling so teams can run secure and repeatable LLM workloads on that platform.
MLflow for GenAI,"Describes how to configure MLflow services and tooling, with emphasis on genai so teams can run secure and repeatable LLM workloads on that platform."
Model integration,"Shows how services, tools, and external systems interoperate, with emphasis on model to fulfill multi-step requests."
Model registry,"Explores model internals, architecture choices, and foundational concepts, with emphasis on registry so teams understand behavior and trade-offs."
Model selection,"Explores model internals, architecture choices, and foundational concepts, with emphasis on selection so teams understand behavior and trade-offs."
Monitoring,"Covers telemetry, dashboards, and alerts so teams can spot regressions and incidents early."
Monitoring schedule,"Covers telemetry, dashboards, and alerts, with emphasis on schedule so teams can spot regressions and incidents early."
Multimodal,Highlights best practices around multimodal so the broader work stays reliable.
Nonprofits,Highlights best practices around nonprofits so the broader work stays reliable.
Notebook,Highlights best practices around notebook so the broader work stays reliable.
Observability,"Covers telemetry, dashboards, and alerts so teams can spot regressions and incidents early."
OCI,"Covers automation of builds, tests, and releases, with emphasis on OCI to keep delivery predictable."
OCI Data Science,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on OCI and science feed evaluation, training, and serving."
OCI DevOps,"Covers automation of builds, tests, and releases, with emphasis on OCI to keep delivery predictable."
OCI Observability,"Covers telemetry, dashboards, and alerts, with emphasis on OCI so teams can spot regressions and incidents early."
Onboarding,Highlights best practices around onboarding so the broader work stays reliable.
OpenAI-compatible API,"Describes how to configure OpenAI services and tooling, with emphasis on compatible and API so teams can run secure and repeatable LLM workloads on that platform."
OpenClaw,Describes how to configure OpenClaw services and tooling so teams can run secure and repeatable LLM workloads on that platform.
OpenRLHF,Describes how to configure OpenRLHF services and tooling so teams can run secure and repeatable LLM workloads on that platform.
OpenSearch Serverless,"Describes how to configure OpenSearch services and tooling, with emphasis on serverless so teams can run secure and repeatable LLM workloads on that platform."
OpenTelemetry,"Covers telemetry, dashboards, and alerts, with emphasis on opentelemetry so teams can spot regressions and incidents early."
Operations,Highlights best practices around operations so the broader work stays reliable.
Ops,Highlights best practices around ops so the broader work stays reliable.
Optimization,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Oracle,Describes how to configure Oracle Cloud services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Orchestration,Outlines the steps and decision points that drive complex sequences.
PEFT,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Performance,Highlights best practices around performance so the broader work stays reliable.
Phoenix,Describes how to configure Arize Phoenix services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Phoenix integration,"Describes how to configure Arize Phoenix services and tooling, with emphasis on integration so teams can run secure and repeatable LLM workloads on that platform."
Pipelines,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on pipelines feed evaluation, training, and serving."
Post training,"Guides training loops, tuning steps, and optimization choices, with emphasis on post so updates stay efficient and aligned."
Post-training,"Guides training loops, tuning steps, and optimization choices, with emphasis on post so updates stay efficient and aligned."
PPO,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Pretraining,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Product design,Highlights best practices around product and design so the broader work stays reliable.
Prompt engineering,"Describes how to author instructions, examples, and iterations, with emphasis on engineering that steer the model toward consistent responses."
Prompt flow,"Describes how to author instructions, examples, and iterations that steer the model toward consistent responses."
Prompt management,"Describes how to author instructions, examples, and iterations, with emphasis on management that steer the model toward consistent responses."
Prompt registry,"Describes how to author instructions, examples, and iterations, with emphasis on registry that steer the model toward consistent responses."
Prompt templates,"Describes how to author instructions, examples, and iterations that steer the model toward consistent responses."
Protocols,Highlights best practices around protocols so the broader work stays reliable.
PyTorch,Highlights best practices around pytorch so the broader work stays reliable.
QLoRA,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Quality signals,"Details evaluation and testing routines, with emphasis on signals that confirm outputs meet quality and safety standards."
RAG,Highlights best practices around rag so the broader work stays reliable.
RAG debugging,Highlights best practices around rag and debugging so the broader work stays reliable.
Re:Post,Highlights best practices around re and post so the broader work stays reliable.
Reference architecture,"Explores model internals, architecture choices, and foundational concepts, with emphasis on reference so teams understand behavior and trade-offs."
Regression testing,"Details evaluation and testing routines, with emphasis on regression that confirm outputs meet quality and safety standards."
Releases,Highlights best practices around releases so the broader work stays reliable.
Reliability,Highlights best practices around reliability so the broader work stays reliable.
Reproducibility,"Covers automation of builds, tests, and releases, with emphasis on reproducibility to keep delivery predictable."
Responsible AI governance act,"Specifies policies, approvals, and checkpoint reviews, with emphasis on AI and act that keep programs accountable and compliant."
Risk,"Specifies policies, approvals, and checkpoint reviews that keep programs accountable and compliant."
RLHF,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Safety,"Focuses on guardrails, filtering, and hardening so generation stays safe for customers."
SageMaker,Describes how to configure SageMaker services and tooling so teams can run secure and repeatable LLM workloads on that platform.
SageMaker Clarify,"Describes how to configure SageMaker services and tooling, with emphasis on clarify so teams can run secure and repeatable LLM workloads on that platform."
SageMaker JumpStart,"Describes how to configure SageMaker services and tooling, with emphasis on jumpstart so teams can run secure and repeatable LLM workloads on that platform."
SageMaker Model Monitor,"Describes how to configure SageMaker services and tooling, with emphasis on model and monitor so teams can run secure and repeatable LLM workloads on that platform."
SageMaker Pipelines,"Describes how to configure SageMaker services and tooling, with emphasis on pipelines so teams can run secure and repeatable LLM workloads on that platform."
Scaling,Highlights best practices around scaling so the broader work stays reliable.
Search apps,Highlights best practices around search and apps so the broader work stays reliable.
Security,"Focuses on guardrails, filtering, and hardening so generation stays safe for customers."
Server,"Guides packaging, serving, and routing infrastructure so inference remains reliable and resilient."
Serving,"Guides packaging, serving, and routing infrastructure so inference remains reliable and resilient."
Serving guides,"Guides packaging, serving, and routing infrastructure, with emphasis on guides so inference remains reliable and resilient."
Serving integration,"Guides packaging, serving, and routing infrastructure, with emphasis on integration so inference remains reliable and resilient."
Setup,Highlights best practices around setup so the broader work stays reliable.
Skills,Highlights best practices around skills so the broader work stays reliable.
SLMs,Highlights best practices around slms so the broader work stays reliable.
Streamlit,Highlights best practices around streamlit so the broader work stays reliable.
Students,Highlights best practices around students so the broader work stays reliable.
Sub-agents,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps, with emphasis on sub so complex tasks remain auditable."
Tasks,Highlights best practices around tasks so the broader work stays reliable.
Teaching,Highlights best practices around teaching so the broader work stays reliable.
Telemetry,"Covers telemetry, dashboards, and alerts so teams can spot regressions and incidents early."
Text generation,Highlights best practices around text and generation so the broader work stays reliable.
Throughput,Highlights best practices around throughput so the broader work stays reliable.
Tracing,"Covers telemetry, dashboards, and alerts so teams can spot regressions and incidents early."
Tracing setup,"Covers telemetry, dashboards, and alerts, with emphasis on setup so teams can spot regressions and incidents early."
Tracking,Highlights best practices around tracking so the broader work stays reliable.
Training,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Training loop,"Guides training loops, tuning steps, and optimization choices, with emphasis on loop so updates stay efficient and aligned."
Training module,"Guides training loops, tuning steps, and optimization choices, with emphasis on module so updates stay efficient and aligned."
Transformers,"Explores model internals, architecture choices, and foundational concepts, with emphasis on transformers so teams understand behavior and trade-offs."
TRL,Highlights best practices around trl so the broader work stays reliable.
Troubleshooting,Highlights best practices around troubleshooting so the broader work stays reliable.
Tutorial,Highlights best practices around tutorial so the broader work stays reliable.
Vector databases,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on vector and databases feed evaluation, training, and serving."
Vector DB,Highlights best practices around vector and db so the broader work stays reliable.
Versioning,Highlights best practices around versioning so the broader work stays reliable.
Vertex AI,Describes how to configure Vertex AI services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Vertex AI Pipelines,"Describes how to configure Vertex AI services and tooling, with emphasis on pipelines so teams can run secure and repeatable LLM workloads on that platform."
vLLM,Describes how to configure vLLM services and tooling so teams can run secure and repeatable LLM workloads on that platform.
watsonx,Describes how to configure watsonx services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Watsonx,Describes how to configure watsonx services and tooling so teams can run secure and repeatable LLM workloads on that platform.
Workshop,Highlights best practices around workshop so the broader work stays reliable.
