Name,Description
CI build + CD deploy (Prompt Flow),"Describes how to author instructions, examples, and iterations, with emphasis on CI and build that steer the model toward consistent responses."
CI/CD integration (CodePipeline),"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on CI and CD feed evaluation, training, and serving."
CI/CD observability,"Covers telemetry, dashboards, and alerts, with emphasis on CI and CD so teams can spot regressions and incidents early."
Clarify + fmeval evaluation workflow,"Details evaluation and testing routines, with emphasis on clarify and fmeval that confirm outputs meet quality and safety standards."
Classification fine-tuning,"Guides training loops, tuning steps, and optimization choices, with emphasis on classification so updates stay efficient and aligned."
Classification flow build (Prompt Flow),"Describes how to author instructions, examples, and iterations, with emphasis on classification and build that steer the model toward consistent responses."
Claude API integration,"Describes how to configure Claude services and tooling, with emphasis on API and integration so teams can run secure and repeatable LLM workloads on that platform."
Claude basics,"Describes how to configure Claude services and tooling, with emphasis on basics so teams can run secure and repeatable LLM workloads on that platform."
Claude Code skill design,"Describes how to configure Claude services and tooling, with emphasis on code and skill so teams can run secure and repeatable LLM workloads on that platform."
Claude Code workflows,"Describes how to configure Claude services and tooling, with emphasis on code and workflows so teams can run secure and repeatable LLM workloads on that platform."
Claude fundamentals,"Describes how to configure Claude services and tooling, with emphasis on fundamentals so teams can run secure and repeatable LLM workloads on that platform."
CLI-driven evaluation workflow,"Details evaluation and testing routines, with emphasis on cli and driven that confirm outputs meet quality and safety standards."
Cloud deployment setup,"Guides packaging, serving, and routing infrastructure, with emphasis on cloud and setup so inference remains reliable and resilient."
Coding assistant operations,Highlights best practices around coding and assistant so the broader work stays reliable.
Community practice review,Highlights best practices around community and review so the broader work stays reliable.
Compliance/audit processes,"Specifies policies, approvals, and checkpoint reviews, with emphasis on processes that keep programs accountable and compliant."
Conditional safety routing (Prompt Flow),"Focuses on guardrails, filtering, and hardening, with emphasis on conditional and routing so generation stays safe for customers."
configure auth,Highlights best practices around configure and auth so the broader work stays reliable.
Configure authorization,Highlights best practices around configure and authorization so the broader work stays reliable.
Containerized LLM serving (vLLM),"Describes how to configure vLLM services and tooling, with emphasis on containerized and LLM so teams can run secure and repeatable LLM workloads on that platform."
Content Safety configuration,"Focuses on guardrails, filtering, and hardening, with emphasis on configuration so generation stays safe for customers."
Content Safety tool integration,"Focuses on guardrails, filtering, and hardening, with emphasis on tool and integration so generation stays safe for customers."
Context protocol reuse,Highlights best practices around context and reuse so the broader work stays reliable.
Context/tool interoperability,"Shows how services, tools, and external systems interoperate, with emphasis on context and interoperability to fulfill multi-step requests."
Conversation design,Highlights best practices around conversation and design so the broader work stays reliable.
Cost-performance optimization,"Guides training loops, tuning steps, and optimization choices, with emphasis on cost and performance so updates stay efficient and aligned."
Curriculum planning,Highlights best practices around curriculum and planning so the broader work stays reliable.
Custom metric configuration,Highlights best practices around custom and metric so the broader work stays reliable.
Dataset/eval operations,"Details evaluation and testing routines, with emphasis on dataset and operations that confirm outputs meet quality and safety standards."
Debugging patterns,Highlights best practices around debugging and patterns so the broader work stays reliable.
Device placement (CPU/GPU),Highlights best practices around device and placement so the broader work stays reliable.
DevOps pipeline performance monitoring,"Covers telemetry, dashboards, and alerts, with emphasis on devops and pipeline so teams can spot regressions and incidents early."
Distributed RLHF training,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Distributed training (Accelerate),"Guides training loops, tuning steps, and optimization choices, with emphasis on accelerate so updates stay efficient and aligned."
Document ingestion for RAG,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on rag feed evaluation, training, and serving."
DPO preference optimization,"Guides training loops, tuning steps, and optimization choices, with emphasis on preference so updates stay efficient and aligned."
Drift detection,Highlights best practices around drift and detection so the broader work stays reliable.
Efficient inference serving,"Guides packaging, serving, and routing infrastructure, with emphasis on efficient and inference so inference remains reliable and resilient."
Embedding generation,Highlights best practices around embedding and generation so the broader work stays reliable.
End-to-end run debugging,Highlights best practices around end and end so the broader work stays reliable.
Enterprise governance planning,"Specifies policies, approvals, and checkpoint reviews, with emphasis on enterprise and planning that keep programs accountable and compliant."
Environment setup,Highlights best practices around environment and setup so the broader work stays reliable.
Evaluation checkpointing,"Details evaluation and testing routines, with emphasis on checkpointing that confirm outputs meet quality and safety standards."
Evaluation dataset preparation,"Details evaluation and testing routines, with emphasis on dataset and preparation that confirm outputs meet quality and safety standards."
Evaluation hooks,"Details evaluation and testing routines, with emphasis on hooks that confirm outputs meet quality and safety standards."
Evaluation reporting,"Details evaluation and testing routines, with emphasis on reporting that confirm outputs meet quality and safety standards."
Evaluation/monitoring integrations,"Covers telemetry, dashboards, and alerts, with emphasis on evaluation and integrations so teams can spot regressions and incidents early."
Experiment/prompt tracking (MLflow),"Describes how to configure MLflow services and tooling, with emphasis on experiment and prompt so teams can run secure and repeatable LLM workloads on that platform."
External system orchestration,"Outlines the steps and decision points that drive complex sequences, with emphasis on external and system."
Fine-tuning basics,"Guides training loops, tuning steps, and optimization choices, with emphasis on basics so updates stay efficient and aligned."
Fine-tuning workflow basics,"Guides training loops, tuning steps, and optimization choices, with emphasis on workflow and basics so updates stay efficient and aligned."
Flow runtime & connections (Azure OpenAI),"Describes how to configure Azure services and tooling, with emphasis on runtime and connections so teams can run secure and repeatable LLM workloads on that platform."
fmeval-based evaluation,"Details evaluation and testing routines, with emphasis on fmeval and based that confirm outputs meet quality and safety standards."
Foundation model evaluation (Clarify),"Details evaluation and testing routines, with emphasis on foundation and model that confirm outputs meet quality and safety standards."
Foundational model literacy,"Explores model internals, architecture choices, and foundational concepts, with emphasis on foundational and literacy so teams understand behavior and trade-offs."
Function calling integration,"Shows how services, tools, and external systems interoperate, with emphasis on function and calling to fulfill multi-step requests."
Gateway management,Highlights best practices around gateway and management so the broader work stays reliable.
GenAI app deployment,"Guides packaging, serving, and routing infrastructure, with emphasis on genai and app so inference remains reliable and resilient."
GenAI security hardening,"Focuses on guardrails, filtering, and hardening, with emphasis on genai so generation stays safe for customers."
Generative AI foundations,"Explores model internals, architecture choices, and foundational concepts, with emphasis on AI so teams understand behavior and trade-offs."
GitHub Actions CI/CD setup,"Covers automation of builds, tests, and releases, with emphasis on github and actions to keep delivery predictable."
Golden dataset evaluation gate,"Details evaluation and testing routines, with emphasis on golden and dataset that confirm outputs meet quality and safety standards."
Governance controls,"Specifies policies, approvals, and checkpoint reviews that keep programs accountable and compliant."
Governance for agentic systems,"Specifies policies, approvals, and checkpoint reviews, with emphasis on agentic and systems that keep programs accountable and compliant."
GPT architecture coding,"Explores model internals, architecture choices, and foundational concepts, with emphasis on coding so teams understand behavior and trade-offs."
GPT model implementation,"Explores model internals, architecture choices, and foundational concepts, with emphasis on implementation so teams understand behavior and trade-offs."
Groundedness evaluation flow,Details evaluation and testing routines that confirm outputs meet quality and safety standards.
Health checks,Highlights best practices around health and checks so the broader work stays reliable.
Hugging Face workflow basics,"Describes how to configure Hugging Face services and tooling, with emphasis on workflow and basics so teams can run secure and repeatable LLM workloads on that platform."
Human-centered interaction design,Highlights best practices around human and centered so the broader work stays reliable.
Image generation app workflows,"Outlines the steps and decision points that drive complex sequences, with emphasis on image and generation."
initialize gateway settings,Highlights best practices around initialize and gateway so the broader work stays reliable.
Install tooling,"Shows how services, tools, and external systems interoperate, with emphasis on install and tooling to fulfill multi-step requests."
Install/manage daemon,Highlights best practices around install and manage so the broader work stays reliable.
Instruction fine-tuning,"Guides training loops, tuning steps, and optimization choices, with emphasis on instruction so updates stay efficient and aligned."
Instruction structuring,"Describes how to author instructions, examples, and iterations, with emphasis on structuring that steer the model toward consistent responses."
Instructional AI policy basics,"Specifies policies, approvals, and checkpoint reviews, with emphasis on instructional and AI that keep programs accountable and compliant."
JumpStart embeddings deployment,"Guides packaging, serving, and routing infrastructure, with emphasis on jumpstart and embeddings so inference remains reliable and resilient."
LangChain RAG application,"Describes how to configure LangChain services and tooling, with emphasis on rag and application so teams can run secure and repeatable LLM workloads on that platform."
Latency/throughput measurement,Highlights best practices around latency and throughput so the broader work stays reliable.
Lifecycle framing (Databricks),"Describes how to configure Databricks services and tooling, with emphasis on lifecycle and framing so teams can run secure and repeatable LLM workloads on that platform."
Lifecycle planning,Highlights best practices around lifecycle and planning so the broader work stays reliable.
Lifecycle state management,Highlights best practices around lifecycle and state so the broader work stays reliable.
LLM app prototyping,"Explores model internals, architecture choices, and foundational concepts, with emphasis on app and prototyping so teams understand behavior and trade-offs."
LLM conceptual foundations,"Explores model internals, architecture choices, and foundational concepts so teams understand behavior and trade-offs."
LLM fundamentals,"Explores model internals, architecture choices, and foundational concepts, with emphasis on fundamentals so teams understand behavior and trade-offs."
LLM monitoring (BYOC),"Covers telemetry, dashboards, and alerts, with emphasis on LLM and BYOC so teams can spot regressions and incidents early."
LLM monitoring enablement,"Covers telemetry, dashboards, and alerts, with emphasis on LLM and enablement so teams can spot regressions and incidents early."
LLM tracing concepts,"Covers telemetry, dashboards, and alerts, with emphasis on LLM and concepts so teams can spot regressions and incidents early."
LLMOps best-practice framing,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMOps and framing so teams understand behavior and trade-offs."
LLMOps definition & lifecycle framing,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMOps and definition so teams understand behavior and trade-offs."
LLMOps implementation (Azure Databricks),"Describes how to configure Azure services and tooling, with emphasis on LLMOps and implementation so teams can run secure and repeatable LLM workloads on that platform."
LLMOps implementation patterns (Azure Databricks),"Describes how to configure Azure services and tooling, with emphasis on LLMOps and implementation so teams can run secure and repeatable LLM workloads on that platform."
LLMOps lifecycle framing (Databricks),"Describes how to configure Databricks services and tooling, with emphasis on LLMOps and lifecycle so teams can run secure and repeatable LLM workloads on that platform."
LLMOps lifecycle mapping,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMOps and lifecycle so teams understand behavior and trade-offs."
LLMOps overview (Oracle),"Describes how to configure Oracle Cloud services and tooling, with emphasis on LLMOps and overview so teams can run secure and repeatable LLM workloads on that platform."
LLMOps reference architecture review,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMOps and reference so teams understand behavior and trade-offs."
LLMOps tracking concepts,"Explores model internals, architecture choices, and foundational concepts, with emphasis on LLMOps and tracking so teams understand behavior and trade-offs."
LLMOps vs MLOps comparison,"Details evaluation and testing routines, with emphasis on LLMOps and MLOps that confirm outputs meet quality and safety standards."
Load testing,"Details evaluation and testing routines, with emphasis on load that confirm outputs meet quality and safety standards."
Logging and retry gating,"Covers telemetry, dashboards, and alerts, with emphasis on retry and gating so teams can spot regressions and incidents early."
Logs/metrics/traces analysis,"Covers telemetry, dashboards, and alerts, with emphasis on traces and analysis so teams can spot regressions and incidents early."
LoRA adaptation,"Guides training loops, tuning steps, and optimization choices, with emphasis on adaptation so updates stay efficient and aligned."
LoRA adapter training,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
LoRA fine-tuning,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Low-code AI app assembly,Highlights best practices around low and code so the broader work stays reliable.
Managed deployment setup,"Guides packaging, serving, and routing infrastructure, with emphasis on managed and setup so inference remains reliable and resilient."
Managed endpoint deployment,"Guides training loops, tuning steps, and optimization choices, with emphasis on managed and endpoint so updates stay efficient and aligned."
MCP fundamentals,Highlights best practices around MCP and fundamentals so the broader work stays reliable.
Meta model integration,"Shows how services, tools, and external systems interoperate, with emphasis on meta and model to fulfill multi-step requests."
Metric selection,Highlights best practices around metric and selection so the broader work stays reliable.
Mixed-precision tuning,"Guides training loops, tuning steps, and optimization choices, with emphasis on mixed and precision so updates stay efficient and aligned."
MLflow tracking,"Describes how to configure MLflow services and tooling, with emphasis on tracking so teams can run secure and repeatable LLM workloads on that platform."
Model backend configuration,"Explores model internals, architecture choices, and foundational concepts, with emphasis on backend and configuration so teams understand behavior and trade-offs."
Model benchmarking,"Details evaluation and testing routines, with emphasis on model and benchmarking that confirm outputs meet quality and safety standards."
Model comparison,"Details evaluation and testing routines, with emphasis on model that confirm outputs meet quality and safety standards."
Model deployment (SageMaker Hosting),"Describes how to configure SageMaker services and tooling, with emphasis on model and deployment so teams can run secure and repeatable LLM workloads on that platform."
Model lifecycle promotion,"Explores model internals, architecture choices, and foundational concepts, with emphasis on lifecycle and promotion so teams understand behavior and trade-offs."
Model Monitor setup,"Explores model internals, architecture choices, and foundational concepts, with emphasis on monitor and setup so teams understand behavior and trade-offs."
Model package governance,"Specifies policies, approvals, and checkpoint reviews, with emphasis on model and package that keep programs accountable and compliant."
Model selection workflow,"Outlines the steps and decision points that drive complex sequences, with emphasis on model and selection."
Model versioning & lineage,"Explores model internals, architecture choices, and foundational concepts, with emphasis on versioning and lineage so teams understand behavior and trade-offs."
Model-specific workflow adaptation,"Outlines the steps and decision points that drive complex sequences, with emphasis on model and specific."
Monitoring metrics preparation,"Covers telemetry, dashboards, and alerts, with emphasis on preparation so teams can spot regressions and incidents early."
Monitoring schedule operations,"Covers telemetry, dashboards, and alerts, with emphasis on schedule and operations so teams can spot regressions and incidents early."
Monitoring schedule setup,"Covers telemetry, dashboards, and alerts, with emphasis on schedule and setup so teams can spot regressions and incidents early."
Multi-GPU launch,Highlights best practices around multi and GPU so the broader work stays reliable.
Multimodal prompt setup,"Describes how to author instructions, examples, and iterations, with emphasis on multimodal and setup that steer the model toward consistent responses."
Nonprofit AI enablement,Highlights best practices around nonprofit and AI so the broader work stays reliable.
Observability + eval workflow navigation,"Covers telemetry, dashboards, and alerts, with emphasis on eval and workflow so teams can spot regressions and incidents early."
Observability dashboarding,"Covers telemetry, dashboards, and alerts, with emphasis on dashboarding so teams can spot regressions and incidents early."
Observability enablement (LlamaIndex),"Describes how to configure LlamaIndex services and tooling, with emphasis on observability and enablement so teams can run secure and repeatable LLM workloads on that platform."
OCI service mapping for LLMOps,"Covers automation of builds, tests, and releases, with emphasis on OCI and service to keep delivery predictable."
Open dashboard,Highlights best practices around open and dashboard so the broader work stays reliable.
Open-source LLM deployment (Azure),"Describes how to configure Azure services and tooling, with emphasis on source and LLM so teams can run secure and repeatable LLM workloads on that platform."
Open-source model selection,"Explores model internals, architecture choices, and foundational concepts, with emphasis on open and source so teams understand behavior and trade-offs."
OpenAI-compatible server (vLLM),"Describes how to configure OpenAI services and tooling, with emphasis on compatible and server so teams can run secure and repeatable LLM workloads on that platform."
OpenTelemetry integration,"Covers telemetry, dashboards, and alerts, with emphasis on opentelemetry and integration so teams can spot regressions and incidents early."
Operational debugging,Highlights best practices around operational and debugging so the broader work stays reliable.
Operational lifecycle setup,Highlights best practices around operational and lifecycle so the broader work stays reliable.
Operational readiness,Highlights best practices around operational and readiness so the broader work stays reliable.
Operational serving configuration,"Guides packaging, serving, and routing infrastructure, with emphasis on operational and configuration so inference remains reliable and resilient."
Operational troubleshooting,Highlights best practices around operational and troubleshooting so the broader work stays reliable.
Operational troubleshooting (RLHF),"Guides training loops, tuning steps, and optimization choices, with emphasis on operational and troubleshooting so updates stay efficient and aligned."
Parameter-efficient adaptation,"Covers automation of builds, tests, and releases, with emphasis on parameter and efficient to keep delivery predictable."
PEFT fine-tuning,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Phoenix integration,"Describes how to configure Arize Phoenix services and tooling, with emphasis on integration so teams can run secure and repeatable LLM workloads on that platform."
Pipeline automation,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on automation feed evaluation, training, and serving."
Pipeline parameterization,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on parameterization feed evaluation, training, and serving."
Post-deploy validation,Highlights best practices around post and deploy so the broader work stays reliable.
Post-training workflow overview,"Guides training loops, tuning steps, and optimization choices, with emphasis on post and workflow so updates stay efficient and aligned."
PPO/DPO workflow execution,"Guides training loops, tuning steps, and optimization choices, with emphasis on workflow and execution so updates stay efficient and aligned."
Practical optimization techniques,"Guides training loops, tuning steps, and optimization choices, with emphasis on practical and techniques so updates stay efficient and aligned."
Pretraining pipeline execution,"Guides training loops, tuning steps, and optimization choices, with emphasis on pipeline and execution so updates stay efficient and aligned."
Pretraining pipelines,"Guides training loops, tuning steps, and optimization choices, with emphasis on pipelines so updates stay efficient and aligned."
Production deployment patterns (vLLM),"Describes how to configure vLLM services and tooling, with emphasis on production and deployment so teams can run secure and repeatable LLM workloads on that platform."
Production integration patterns,"Guides packaging, serving, and routing infrastructure, with emphasis on integration and patterns so inference remains reliable and resilient."
Prompt construction,"Describes how to author instructions, examples, and iterations, with emphasis on construction that steer the model toward consistent responses."
Prompt design fundamentals,"Describes how to author instructions, examples, and iterations, with emphasis on design and fundamentals that steer the model toward consistent responses."
Prompt engineering fundamentals,"Describes how to author instructions, examples, and iterations, with emphasis on engineering and fundamentals that steer the model toward consistent responses."
Prompt evaluation,"Details evaluation and testing routines, with emphasis on prompt that confirm outputs meet quality and safety standards."
Prompt Flow creation,"Describes how to author instructions, examples, and iterations, with emphasis on creation that steer the model toward consistent responses."
Prompt Flow orchestration,"Describes how to author instructions, examples, and iterations, with emphasis on orchestration that steer the model toward consistent responses."
Prompt iteration workflow,"Describes how to author instructions, examples, and iterations, with emphasis on iteration and workflow that steer the model toward consistent responses."
Prompt Playground experimentation,"Describes how to author instructions, examples, and iterations, with emphasis on experimentation that steer the model toward consistent responses."
Prompt Registry usage,"Describes how to author instructions, examples, and iterations, with emphasis on registry and usage that steer the model toward consistent responses."
Prompt template authoring,"Describes how to author instructions, examples, and iterations, with emphasis on template and authoring that steer the model toward consistent responses."
Prompt testing workflows,"Details evaluation and testing routines, with emphasis on prompt and workflows that confirm outputs meet quality and safety standards."
Prompt versioning,"Describes how to author instructions, examples, and iterations, with emphasis on versioning that steer the model toward consistent responses."
PyTorch fundamentals,Highlights best practices around pytorch and fundamentals so the broader work stays reliable.
PyTorch module composition,Highlights best practices around pytorch and module so the broader work stays reliable.
QLoRA fine-tuning,"Guides training loops, tuning steps, and optimization choices so updates stay efficient and aligned."
Quality signal capture,"Details evaluation and testing routines, with emphasis on signal and capture that confirm outputs meet quality and safety standards."
Quality/cost tradeoff analysis,"Details evaluation and testing routines, with emphasis on cost and tradeoff that confirm outputs meet quality and safety standards."
RAG architecture,"Explores model internals, architecture choices, and foundational concepts, with emphasis on rag so teams understand behavior and trade-offs."
RAG flow build (Prompt Flow + Azure AI Search),"Describes how to configure Azure services and tooling, with emphasis on rag and build so teams can run secure and repeatable LLM workloads on that platform."
RAG flow evaluation (Prompt Flow),"Details evaluation and testing routines, with emphasis on rag and prompt that confirm outputs meet quality and safety standards."
RAG implementation,Highlights best practices around rag and implementation so the broader work stays reliable.
RAG quality checks,"Details evaluation and testing routines, with emphasis on rag and checks that confirm outputs meet quality and safety standards."
RAG trace debugging,"Covers telemetry, dashboards, and alerts, with emphasis on rag and debugging so teams can spot regressions and incidents early."
Release workflow (branching/versioning),"Outlines the steps and decision points that drive complex sequences, with emphasis on release and branching."
Release/version tracking,Highlights best practices around release and version so the broader work stays reliable.
Repository orientation,Highlights best practices around repository and orientation so the broader work stays reliable.
Reproducible evaluation runs,"Details evaluation and testing routines, with emphasis on runs that confirm outputs meet quality and safety standards."
Responsible adoption planning,"Specifies policies, approvals, and checkpoint reviews, with emphasis on adoption and planning that keep programs accountable and compliant."
Responsible AI controls,"Specifies policies, approvals, and checkpoint reviews, with emphasis on AI that keep programs accountable and compliant."
Responsible AI implementation,"Specifies policies, approvals, and checkpoint reviews, with emphasis on AI and implementation that keep programs accountable and compliant."
Responsible AI usage,"Specifies policies, approvals, and checkpoint reviews, with emphasis on AI and usage that keep programs accountable and compliant."
Retrieval quality tuning,"Details evaluation and testing routines, with emphasis on retrieval and tuning that confirm outputs meet quality and safety standards."
Risk assessment basics,"Specifies policies, approvals, and checkpoint reviews, with emphasis on assessment and basics that keep programs accountable and compliant."
RLHF stack setup (OpenRLHF),"Describes how to configure OpenRLHF services and tooling, with emphasis on RLHF and stack so teams can run secure and repeatable LLM workloads on that platform."
RLHF training (TRL),"Guides training loops, tuning steps, and optimization choices, with emphasis on trl so updates stay efficient and aligned."
run CLI smoke test,Highlights best practices around run and cli so the broader work stays reliable.
Run inspection & debugging,Highlights best practices around run and inspection so the broader work stays reliable.
Run onboarding wizard,Highlights best practices around run and onboarding so the broader work stays reliable.
Runtime monitoring,"Covers telemetry, dashboards, and alerts, with emphasis on runtime so teams can spot regressions and incidents early."
SageMaker fine-tuning job,"Describes how to configure SageMaker services and tooling, with emphasis on fine and tuning so teams can run secure and repeatable LLM workloads on that platform."
SageMaker Model Monitor configuration,"Describes how to configure SageMaker services and tooling, with emphasis on model and monitor so teams can run secure and repeatable LLM workloads on that platform."
SageMaker Model Registry registration,"Describes how to configure SageMaker services and tooling, with emphasis on model and registry so teams can run secure and repeatable LLM workloads on that platform."
SageMaker Pipelines workflow,"Describes how to configure SageMaker services and tooling, with emphasis on pipelines and workflow so teams can run secure and repeatable LLM workloads on that platform."
Scaling analysis,Highlights best practices around scaling and analysis so the broader work stays reliable.
Search app implementation,Highlights best practices around search and app so the broader work stays reliable.
Search index setup (Azure AI Search),"Describes how to configure Azure services and tooling, with emphasis on index and setup so teams can run secure and repeatable LLM workloads on that platform."
Security hardening,"Focuses on guardrails, filtering, and hardening so generation stays safe for customers."
Selection tradeoff analysis,Highlights best practices around selection and tradeoff so the broader work stays reliable.
Service-to-lifecycle mapping,Highlights best practices around service and lifecycle so the broader work stays reliable.
Serving backend integration for evals,"Details evaluation and testing routines, with emphasis on serving and backend that confirm outputs meet quality and safety standards."
Serving integration in training loops,"Guides training loops, tuning steps, and optimization choices, with emphasis on serving and integration so updates stay efficient and aligned."
SLM application design,Highlights best practices around slm and application so the broader work stays reliable.
Source build & dependency management,"Covers automation of builds, tests, and releases, with emphasis on source and dependency to keep delivery predictable."
start/stop service,Highlights best practices around start and stop so the broader work stays reliable.
Streamlit chatbot UI,Highlights best practices around streamlit and chatbot so the broader work stays reliable.
Student AI literacy,Highlights best practices around student and AI so the broader work stays reliable.
Sub-agent orchestration,"Explains how autonomous assistants coordinate tools, retrieval, and reasoning steps, with emphasis on sub and orchestration so complex tasks remain auditable."
Task configuration,Highlights best practices around task and configuration so the broader work stays reliable.
Task selection (pipeline API),"Guides packaging, serving, and routing infrastructure, with emphasis on task and selection so inference remains reliable and resilient."
Telemetry inspection,"Covers telemetry, dashboards, and alerts, with emphasis on inspection so teams can spot regressions and incidents early."
Tensor workflow basics,"Outlines the steps and decision points that drive complex sequences, with emphasis on tensor and basics."
Text generation app development,Highlights best practices around text and generation so the broader work stays reliable.
Text preprocessing,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on text feed evaluation, training, and serving."
Threat mitigation basics,"Focuses on guardrails, filtering, and hardening, with emphasis on threat and basics so generation stays safe for customers."
Tokenization and text preprocessing,"Explains how data pipelines, ingestion, and retrieval layers, with emphasis on tokenization and text feed evaluation, training, and serving."
Tokenization workflow setup,"Outlines the steps and decision points that drive complex sequences, with emphasis on tokenization and setup."
Tool orchestration,"Outlines the steps and decision points that drive complex sequences, with emphasis on tool."
Tool routing,"Shows how services, tools, and external systems interoperate to fulfill multi-step requests."
Trace analysis for debugging,"Covers telemetry, dashboards, and alerts, with emphasis on analysis and debugging so teams can spot regressions and incidents early."
Trace export configuration,"Covers telemetry, dashboards, and alerts, with emphasis on export and configuration so teams can spot regressions and incidents early."
Trace export to Phoenix,"Describes how to configure Arize Phoenix services and tooling, with emphasis on trace and export so teams can run secure and repeatable LLM workloads on that platform."
Trace logging,"Covers telemetry, dashboards, and alerts so teams can spot regressions and incidents early."
Tracing enablement (LangChain),"Describes how to configure LangChain services and tooling, with emphasis on tracing and enablement so teams can run secure and repeatable LLM workloads on that platform."
