Name,Description,Stages,Topics,Lesson number,Courses,Related spaces,Skills,Tags,Roles,Web URL
Lab 04: monitoring and responsible AI,Focuses on monitoring deployed LLM workflows and applying responsible AI and safety practices for production operations.,Operate,Observability and tracing; Safety,4,azure-llmops-workshop,AI,LLM monitoring enablement; Monitoring metrics preparation; Content Safety tool integration; Conditional safety routing (Prompt Flow); Operational debugging,Azure; Monitoring; Prompt flow; Content safety; Responsible AI; Hands-on,Governance lead; LLMOps engineer; LLM application engineer,https://microsoft.github.io/llmops-workshop/labs/lesson_04/lab04.html
Lab 05: automating everything (CI/CD),"Automates build, evaluation, and deployment for LLM orchestration flows using CI/CD practices and repeatable delivery pipelines.",Build; Evaluate,Automation; Evaluation and Testing; Deployment and serving,5,azure-llmops-workshop,AI,GitHub Actions CI/CD setup; Automated PR evaluation pipeline; Golden dataset evaluation gate; CI build + CD deploy (Prompt Flow); Release workflow (branching/versioning),Azure; GitHub Actions; CI/CD; Prompt flow; LLMOps Accelerator; Golden dataset; Hands-on,Evaluation engineer; Platform engineer; LLM application engineer,https://microsoft.github.io/llmops-workshop/labs/lesson_05/lab05.html
Extra: benchmarking Azure OpenAI models,"Uses the Azure OpenAI Benchmarking Tool to run load tests, interpret throughput and latency metrics, and tune test parameters.",Evaluate; Optimize,Evaluation and Testing; Cost and performance,6,azure-llmops-workshop,AI,Model benchmarking; Quality/cost tradeoff analysis; Model selection workflow,Azure OpenAI; Benchmarking; Model selection; Evaluation; Performance,Evaluation engineer; Platform engineer; LLM application engineer,https://microsoft.github.io/llmops-workshop/labs/performance/docs/AOAI_BENCH_TOOL.html
Extra: performance evaluation / load testing,"Explains core performance-evaluation concepts for LLM applications, including load-testing methodology, metrics, and capacity planning tradeoffs.",Build; Optimize,Cost and performance; Deployment and serving,7,azure-llmops-workshop,AI,Load testing; Latency/throughput measurement; Scaling analysis,Load testing; Performance; Latency; Throughput; Scaling; Azure,Evaluation engineer; Platform engineer,https://microsoft.github.io/llmops-workshop/labs/performance/docs/PERFTEST_CONCEPTS.html
Databricks LLMOps overview,"Defines LLMOps on Databricks, including lifecycle practices for prompt engineering, fine-tuning, evaluation, monitoring, and governance.",Foundations,Foundations and Lifecycle,1,databricks-llmops,AI,LLMOps lifecycle framing (Databricks),Databricks; Glossary; Conceptual,Platform engineer; Technical product manager,https://www.databricks.com/glossary/llmops
Evaluate and monitor AI agents (MLflow for GenAI),"Covers MLflow 3 evaluation and monitoring for GenAI apps, including tracing, LLM judges, scorers, and production quality checks.",Build; Evaluate; Operate,Evaluation and Testing; Observability and tracing; Orchestration and workflows,2,databricks-llmops,AI,Agent evaluation (MLflow); Agent monitoring; Trace logging,Databricks; MLflow for GenAI; Agents; Evaluation; Monitoring,Evaluation engineer; LLMOps engineer; LLM application engineer,https://docs.databricks.com/aws/en/mlflow3/genai/eval-monitor/
Implement LLMOps with Azure Databricks (Lab),"Hands-on lab for implementing LLMOps in Azure Databricks with Azure OpenAI, MLflow logging, deployment setup, and monitoring workflows.",Build; Operate,Deployment and serving; Model registry and versioning; Governance and risk,3,databricks-llmops,AI,LLMOps implementation (Azure Databricks); Experiment/prompt tracking (MLflow); GenAI app deployment; Governance controls,Azure Databricks; Databricks; MLflow; Lab; Governance,Governance lead; Platform engineer; LLM application engineer,https://microsoftlearning.github.io/mslearn-databricks/Instructions/Exercises/AI-07-LLMOps.html
Microsoft Learn module: implement LLMOps with Azure Databricks,"Microsoft Learn module on implementing LLMOps in Azure Databricks using MLflow, Unity Catalog, and deployment lifecycle patterns.",Foundations; Build,Foundations and Lifecycle; Deployment and serving,4,databricks-llmops,AI,LLMOps implementation patterns (Azure Databricks); Operational lifecycle setup,Microsoft Learn; Azure Databricks; Training module,Platform engineer; Technical product manager,https://learn.microsoft.com/en-us/training/modules/implement-llmops-azure-databricks/
Lm-evaluation-harness repository (core),Lesson on lm-evaluation-harness repository (core).,Evaluate,Evaluation and Testing,1,eleutherai-eval,AI,Benchmark execution (lm-eval-harness); Reproducible evaluation runs,EleutherAI; Lm-evaluation-harness; Benchmarking; Open-source,Evaluation engineer,https://github.com/EleutherAI/lm-evaluation-harness
Lm-evaluation-harness: task guide (docs),Lesson on lm-evaluation-harness: Task guide (docs).,Build; Evaluate,Evaluation and Testing; Prompting,2,eleutherai-eval,AI,Task configuration; Prompt template authoring; Custom metric configuration,EleutherAI; Tasks; Prompt templates; Evaluation,Evaluation engineer; LLM application engineer,https://github.com/EleutherAI/lm-evaluation-harness/tree/main/docs
Lm-evaluation-harness: models/backends config,Lesson on lm-evaluation-harness: Models/backends config.,Build; Evaluate,Evaluation and Testing; Deployment and serving,3,eleutherai-eval,AI,Model backend configuration; Serving backend integration for evals,EleutherAI; Backends; Serving integration; Evaluation,Evaluation engineer; Platform engineer,https://github.com/EleutherAI/lm-evaluation-harness/tree/main/lm_eval/models
Lm-evaluation-harness: CLI usage / getting started,Lesson on lm-evaluation-harness: CLI usage / getting started.,Build; Evaluate,Evaluation and Testing; Orchestration and workflows,4,eleutherai-eval,AI,CLI-driven evaluation workflow; Batching/performance tuning for evals,EleutherAI; CLI; Automation; Evaluation,Evaluation engineer; Platform engineer; LLM application engineer,https://github.com/EleutherAI/lm-evaluation-harness#usage
What is LLMOps (overview),"Overview of LLMOps lifecycle, core activities, and how LLMOps differs from broader MLOps practices.",Foundations,Foundations and Lifecycle,1,gcp-llmops-overview,AI,LLMOps lifecycle mapping; LLMOps best-practice framing,Google Cloud; Conceptual; LLMOps definition; Lifecycle,Platform engineer; Technical product manager,https://cloud.google.com/discover/what-is-llmops
Vertex AI model registry (lifecycle management),"Introduces Vertex AI Model Registry workflows for organizing, versioning, and promoting models through their lifecycle.",Foundations; Build,Model registry and versioning; Foundations and Lifecycle,2,gcp-llmops-overview,AI,Vertex AI Model Registry usage; Model versioning & lineage; Model lifecycle promotion,Google Cloud; Vertex AI; Model registry; Versioning,Technical product manager,https://docs.cloud.google.com/vertex-ai/docs/model-registry/introduction
Vertex AI pipelines (automation),"Explains Vertex AI Pipelines fundamentals, including DAG-based components, orchestration patterns, and pipeline runs.",Build,Orchestration and workflows; Automation,3,gcp-llmops-overview,AI,Vertex AI Pipelines orchestration; Pipeline automation; Pipeline parameterization,Google Cloud; Vertex AI Pipelines; Automation; Pipelines,Platform engineer; LLM application engineer,https://docs.cloud.google.com/vertex-ai/docs/pipelines/introduction
Vertex AI model evaluation (overview),"Covers Vertex AI model evaluation concepts, key metrics, and workflows for comparing model quality across versions.",Evaluate,Evaluation and Testing,4,gcp-llmops-overview,AI,Vertex AI model evaluation; Metric selection; Model comparison,Google Cloud; Vertex AI; Evaluation; Metrics,Evaluation engineer,https://docs.cloud.google.com/vertex-ai/docs/evaluation/introduction
Vertex AI model monitoring (overview),"Introduces Vertex AI Model Monitoring for drift detection, alerting, and ongoing model quality checks in production.",Operate,Observability and tracing,5,gcp-llmops-overview,AI,Vertex AI model monitoring; Drift detection; Alerting configuration,Google Cloud; Vertex AI; Monitoring; Drift; Alerts,LLMOps engineer,https://docs.cloud.google.com/vertex-ai/docs/model-monitoring/overview
TRL (Transformer reinforcement learning) docs index,Lesson on TRL (Transformer Reinforcement Learning) docs index.,Build,Post training,1,hf-open-llmops-primitives,AI,RLHF training (TRL); DPO preference optimization; Transformers + TRL integration,Hugging Face; TRL; RLHF; DPO; Training,ML engineer,https://huggingface.co/docs/trl/index
PEFT Docs index,Lesson on PEFT docs index.,Build,Post training,2,hf-open-llmops-primitives,AI,PEFT fine-tuning; LoRA adapter training; Adapter merge/export,Hugging Face; PEFT; LoRA; Fine-tuning,ML engineer,https://huggingface.co/docs/peft/index
Accelerate docs index,Lesson on Accelerate docs index.,Build,Post training; Orchestration and workflows,3,hf-open-llmops-primitives,AI,Distributed training (Accelerate); Multi-GPU launch; Mixed-precision tuning,Hugging Face; Accelerate; Distributed training; Performance,LLM application engineer; ML engineer,https://huggingface.co/docs/accelerate/index
Transformers pipeline tutorial (inference primitive),Lesson on Transformers pipeline tutorial (inference primitive).,Build,Deployment and serving,4,hf-open-llmops-primitives,AI,Transformers pipelines inference; Task selection (pipeline API); Device placement (CPU/GPU),Hugging Face; Transformers; Pipelines; Inference,Platform engineer; Technical product manager,https://github.com/huggingface/transformers/blob/main/docs/source/en/pipeline_tutorial.md
IBM: What are large language model operations (LLMOps)?,"Explains IBM's LLMOps foundations, including lifecycle workflows, LLM-vs-MLOps differences, and operational best practices for production AI.",Foundations,Foundations and Lifecycle,1,ibm-llmops,AI,LLMOps definition & lifecycle framing; LLMOps vs MLOps comparison,IBM; Conceptual; LLMOps overview,Platform engineer; Technical product manager,https://www.ibm.com/think/topics/llmops
IBM MLOps guide: introducing watsonx,"Introduces how MLOps extends to foundation models and LLMOps in watsonx, framing prompt-based workflows and production use of foundation model assets.",Foundations; Operate,Foundations and Lifecycle; Governance and risk,2,ibm-llmops,AI,watsonx LLMOps workflow framing; Enterprise governance planning,IBM; Watsonx; Governance; Enterprise,Governance lead; Platform engineer; LLM application engineer; Technical product manager,https://ibm.github.io/MLOps/watsonx/watsonx/
IBM Community: build an agentic LLMOps stack with watsonx,"Community article on building an agentic LLMOps stack with watsonx, including multi-agent orchestration, governance, and observability patterns.",Build; Operate,Orchestration and workflows; Governance and risk,3,ibm-llmops,AI,Agentic workflow design; Agent/tool orchestration; Governance for agentic systems,IBM; Agentic; Orchestration; Community article,Governance lead; LLM application engineer,https://community.ibm.com/community/user/blogs/patrick-meyer/2025/09/18/build-an-agentic-llmops-stack-with-ibm-watsonx
IBM MLOps guide: AI governance,"Details AI governance controls in IBM's MLOps guide, including AI Factsheets metadata capture, OpenPages approval workflows, and OpenScale monitoring.",Operate,Governance and risk; Safety,4,ibm-llmops,AI,AI governance & risk controls; Compliance/audit processes,IBM; Governance; Risk; Documentation,Governance lead,https://ibm.github.io/MLOps/Realizing%20MLOps/AI_Gov_OpenPages_Factsheets/
LangChain Observability (docs landing),Lesson on LangChain observability (docs landing).,Operate,Observability and tracing,1,langchain-observability,AI,Tracing enablement (LangChain); Run inspection & debugging,LangChain; Observability; Tracing; Debugging,LLMOps engineer,https://docs.langchain.com/oss/python/langchain/observability
LangChain Observability: tracing setup,Lesson on LangChain observability: tracing setup.,Operate,Observability and tracing,2,langchain-observability,AI,Tracing setup; Callback instrumentation,LangChain; Tracing setup; Instrumentation; Callbacks,LLMOps engineer,https://docs.langchain.com/oss/python/langchain/observability#tracing
LangChain Observability: evaluation hooks,Lesson on LangChain observability: evaluation hooks.,Evaluate; Operate,Evaluation and Testing; Observability and tracing,3,langchain-observability,AI,Evaluation hooks; Quality signal capture,LangChain; Evaluation; Monitoring; Quality signals,Evaluation engineer; LLMOps engineer,https://docs.langchain.com/oss/python/langchain/observability#evaluation
LangChain Observability: debugging patterns,Lesson on LangChain observability: debugging patterns.,Operate,Observability and tracing; Operations and maintenance,4,langchain-observability,AI,Debugging patterns; Operational troubleshooting,LangChain; Debugging; Ops; Troubleshooting,LLMOps engineer; Platform engineer,https://docs.langchain.com/oss/python/langchain/observability#debugging
LlamaIndex Observability guide (landing),Lesson on LlamaIndex observability guide (landing).,Operate,Observability and tracing,1,llamaindex-observability,AI,Observability enablement (LlamaIndex); Telemetry inspection,LlamaIndex; Observability; Tracing; Telemetry,LLMOps engineer,https://developers.llamaindex.ai/python/framework/module_guides/observability/
LlamaIndex: Opentelemetry / tracing integration,Lesson on LlamaIndex: OpenTelemetry / tracing integration.,Operate,Observability and tracing,2,llamaindex-observability,AI,OpenTelemetry integration; Trace export configuration,LlamaIndex; OpenTelemetry; Tracing; Integration,LLMOps engineer,https://developers.llamaindex.ai/python/framework/module_guides/observability/#opentelemetry
LlamaIndex: Phoenix integration,Lesson on LlamaIndex: Phoenix integration.,Operate,Observability and tracing,3,llamaindex-observability,AI,Phoenix integration; RAG trace debugging,LlamaIndex; Phoenix; Tracing; RAG debugging,LLMOps engineer; LLM application engineer,https://developers.llamaindex.ai/python/framework/module_guides/observability/#phoenix-arize
LlamaIndex: Evaluation/monitoring integrations,Lesson on LlamaIndex: evaluation/monitoring integrations.,Evaluate; Operate,Evaluation and Testing; Observability and tracing,4,llamaindex-observability,AI,Evaluation/monitoring integrations; RAG quality checks,LlamaIndex; Evaluation; Monitoring; Integrations; RAG,Evaluation engineer; LLMOps engineer; LLM application engineer,https://developers.llamaindex.ai/python/framework/module_guides/observability/#evaluation
MLflow: Evaluate prompts (prompt registry),Lesson on MLflow: Evaluate prompts (Prompt Registry).,Build; Evaluate,Prompting; Evaluation and Testing; Model registry and versioning,1,mlflow-genai,AI,Prompt Registry usage; Prompt versioning; Prompt evaluation,MLflow; Prompt registry; Prompt management; Evaluation; Versioning,Evaluation engineer; LLM application engineer,https://mlflow.org/docs/latest/genai/prompt-registry/evaluate-prompts/
Databricks docs: evaluate and monitor AI agents (MLflow GenAI),Lesson on Databricks docs: Evaluate and monitor AI agents (MLflow GenAI).,Build; Evaluate; Operate,Evaluation and Testing; Observability and tracing; Orchestration and workflows,2,mlflow-genai,AI,Agent evaluation (MLflow); Agent monitoring; Trace logging,Databricks; MLflow; Agents; Evaluation; Monitoring,Evaluation engineer; LLMOps engineer; LLM application engineer,https://docs.databricks.com/aws/en/mlflow3/genai/eval-monitor/
Azure Databricks: evaluate & monitor AI agents,Lesson on Azure Databricks: Evaluate & monitor AI agents.,Build; Evaluate; Operate,Evaluation and Testing; Observability and tracing; Orchestration and workflows,3,mlflow-genai,AI,Agent evaluation (Azure Databricks); MLflow tracking; Agent monitoring,Azure Databricks; MLflow; Agents; Evaluation; Monitoring,Evaluation engineer; LLMOps engineer; LLM application engineer,https://learn.microsoft.com/en-us/azure/databricks/mlflow3/genai/eval-monitor/
Databricks LLMOps glossary (context),Lesson on Databricks LLMOps glossary (context).,Foundations; Build,Foundations and Lifecycle; Model registry and versioning,4,mlflow-genai,AI,LLMOps tracking concepts; Lifecycle framing (Databricks),Databricks; Tracking; Lifecycle; Glossary,Platform engineer; Technical product manager,https://www.databricks.com/glossary/llmops
Quick setup (CLI),Guide to installing OpenClaw in bash or windows powershell.,Foundations,Foundations; Lifecycle; LLM Deployment,1,openclaw-getting-started,AI,Install tooling; Verify environment,Install; Setup,Platform Engineer; Technical product manager,https://docs.openclaw.ai/start/getting-started
Onboarding overview,"Choose an onboarding path (CLI wizard or macOS app) to set up the Gateway and providers, including custom endpoints if needed.",Build,Governance; Automation; Deployment,2,openclaw-getting-started,AI,Configure authorization; Gateway management,,Governance manager; LLMOps engineer; Platform Engineer,https://docs.openclaw.ai/start/onboarding-overview
OpenRLHF Repository (overview),Lesson on OpenRLHF repository (overview).,Build,Post training,1,openrlhf-posttraining,AI,RLHF stack setup (OpenRLHF); Post-training workflow overview,OpenRLHF; RLHF; Post-training; Open-source,LLM application engineer; ML engineer,https://github.com/OpenRLHF/OpenRLHF
OpenRLHF Readme (architecture and quickstart),Lesson on OpenRLHF README (architecture and quickstart).,Build,Post training; Deployment and serving,2,openrlhf-posttraining,AI,PPO/DPO workflow execution; Distributed RLHF training; Serving integration in training loops,OpenRLHF; PPO; DPO; Distributed training; Serving integration,Platform engineer; LLM application engineer; ML engineer,https://github.com/OpenRLHF/OpenRLHF#readme
OpenRLHF Issues/discussions (community practices),Lesson on OpenRLHF issues/discussions (community practices).,Operate,Operations and maintenance,3,openrlhf-posttraining,AI,Operational troubleshooting (RLHF); Community practice review,OpenRLHF; Troubleshooting; Community; Issues,Platform engineer; ML engineer; Technical product manager,https://github.com/OpenRLHF/OpenRLHF/issues
OpenRLHF Releases (versioning),Lesson on OpenRLHF releases (versioning).,Build; Operate,Model registry and versioning; Operations and maintenance,4,openrlhf-posttraining,AI,Release/version tracking; Upgrade planning,OpenRLHF; Releases; Versioning; Maintenance,Platform engineer,https://github.com/OpenRLHF/OpenRLHF/releases
Oracle: what is LLMOps? (overview),"Defines LLMOps as the operational discipline for deploying, monitoring, securing, and updating production LLM applications.",Foundations,Foundations and Lifecycle,1,oracle-llmops,AI,LLMOps overview (Oracle); OCI service mapping for LLMOps,Oracle; OCI; Conceptual,LLMOps engineer; Platform engineer; Technical product manager,https://www.oracle.com/artificial-intelligence/llmops/
Deploy LLM on OCI data science using byoc (vLLM),Step-by-step guide for deploying a Hugging Face LLM on OCI Data Science with a vLLM BYOC container and OpenAI-compatible endpoints.,Build,Deployment and serving,2,oracle-llmops,AI,BYOC serving deployment (OCI Data Science); Containerized LLM serving (vLLM),Oracle; OCI Data Science; BYOC; vLLM; Serving,Platform engineer; ML engineer,https://raw.githubusercontent.com/oracle-samples/oci-data-science-ai-samples/main/LLM/deploy-llm-byoc.md
OCI Monitoring service overview (official docs),"Introduces OCI Monitoring fundamentals for metrics, alarms, and resource health tracking across cloud services.",Operate,Observability and tracing,3,oracle-llmops,AI,Observability dashboarding; Logs/metrics/traces analysis; Alerting configuration,Oracle; OCI Observability; Monitoring; Documentation,LLMOps engineer,https://docs.oracle.com/en-us/iaas/Content/Monitoring/Concepts/monitoringoverview.htm
Monitoring OCI DevOps performance (a-team guide),"Shows how to monitor OCI DevOps pipelines with OCI Monitoring, Logging, Logging Analytics, Events, and alert automation.",Build; Operate,Automation; Observability and tracing,4,oracle-llmops,AI,CI/CD observability; DevOps pipeline performance monitoring,Oracle; OCI DevOps; CI/CD; Observability,LLMOps engineer; Platform engineer,https://www.ateam-oracle.com/monitor-oci-devops-performance-observability-and-management
Phoenix tracing overview (LLM traces),Lesson on Phoenix tracing overview (LLM traces).,Operate,Observability and tracing,1,phoenix-observability,AI,LLM tracing concepts; Trace analysis for debugging,Phoenix; Tracing; Observability; Debugging,LLMOps engineer,https://arize.com/docs/phoenix/tracing/llm-traces
Phoenix tracing: how-to (manual),Lesson on Phoenix tracing: How-to (manual).,Operate,Observability and tracing,2,phoenix-observability,AI,Tracing instrumentation; Trace export to Phoenix,Phoenix; Instrumentation; Tracing; How-to,LLMOps engineer,https://arize.com/docs/phoenix/tracing/how-to-tracing
Phoenix tracing tutorial,Lesson on Phoenix tracing tutorial.,Build; Operate,Observability and tracing; Orchestration and workflows,3,phoenix-observability,AI,Tracing tutorial workflow; End-to-end run debugging,Phoenix; Tutorial; Tracing; Hands-on,LLMOps engineer; LLM application engineer,https://arize.com/docs/phoenix/tracing/tutorial
Phoenix docs section index (tracing/evals/datasets),Lesson on Phoenix docs section index (tracing/evals/datasets).,Evaluate; Operate,Observability and tracing; Evaluation and Testing,4,phoenix-observability,AI,Observability + eval workflow navigation; Dataset/eval operations,Phoenix; Evals; Datasets; Observability,Evaluation engineer; LLMOps engineer; Platform engineer; LLM application engineer,https://arize.com/docs/phoenix
vLLM Docs (landing),Lesson on vLLM docs (landing).,Build; Optimize,Deployment and serving; Cost and performance,1,vllm-serving,AI,vLLM installation & setup; Efficient inference serving,vLLM; Serving; Inference; Open-source; Performance,Evaluation engineer; Platform engineer,https://docs.vllm.ai/
OpenAI-compatible server (docs),Lesson on OpenAI-compatible server (docs).,Build,Deployment and serving,2,vllm-serving,AI,OpenAI-compatible server (vLLM); API endpoint configuration,vLLM; OpenAI-compatible API; Server; Serving,Platform engineer; ML engineer,https://docs.vllm.ai/en/v0.13.0/serving/openai_compatible_server/
vLLM GitHub repository,Lesson on vLLM GitHub repository.,Build,Deployment and serving,3,vllm-serving,AI,Source build & dependency management; Upstream contribution workflow,vLLM; GitHub; Build; Open-source,Platform engineer; LLM application engineer,https://github.com/vllm-project/vllm
vLLM: Serving guides index,Lesson on vLLM: serving guides index.,Build; Operate,Deployment and serving; Observability and tracing,4,vllm-serving,AI,Production deployment patterns (vLLM); Operational serving configuration,vLLM; Deployment; Ops; Serving guides,LLMOps engineer; Platform engineer,https://docs.vllm.ai/en/latest/serving/offline_inference/
AI Fluency: Framework & Foundations,Foundational AI fluency curriculum covering core concepts and practical framing for responsible use.,Foundations,Foundations and Lifecycle; Governance and risk,1,anthropic-academy,AI,AI fluency framing; Foundational model literacy,Anthropic; AI fluency; Foundations,Educator; Technical product manager; Governance lead,https://anthropic.skilljar.com/ai-fluency-framework-foundations
Claude 101,Introductory course for getting started with Claude capabilities and basic workflows.,Foundations; Build,Foundations and Lifecycle; Prompting,2,anthropic-academy,AI,Claude basics; Prompt construction,Anthropic; Claude; Beginner,LLM application engineer; Technical product manager,https://anthropic.skilljar.com/claude-101
Claude code in action,Hands-on walkthrough of practical coding workflows using Claude Code.,Build,Orchestration and workflows; Automation,3,anthropic-academy,AI,Claude Code workflows; Coding assistant operations,Anthropic; Claude Code; Hands-on,LLM application engineer; Platform engineer,https://anthropic.skilljar.com/claude-code-in-action
Building with the Claude API,Practical integration guide for building applications with the Claude API.,Build,Deployment and serving; Orchestration and workflows,4,anthropic-academy,AI,Claude API integration; Application wiring,Anthropic; API; Application development,LLM application engineer; Platform engineer,https://anthropic.skilljar.com/claude-with-the-anthropic-api
Introduction to model context protocol (MCP),Overview of MCP concepts and implementation patterns for tool and context interoperability.,Foundations; Build,Orchestration and workflows; Foundations and Lifecycle,5,anthropic-academy,AI,MCP fundamentals; Context/tool interoperability,Anthropic; MCP; Protocols,LLM application engineer; Platform engineer,https://anthropic.skilljar.com/introduction-to-model-context-protocol
